Namespace(algo='dqn', batch_size=64, checkpoint_freq=20000, discount=0.996, ent_coef=0.01, env='CartPole-v1', eps_decay=4000, frame_skip=1, frame_stack=4, load='', log='log.txt', lr=0.001, niter=10000, nproc=2, parallel_env=0, print_freq=200, replay_size=20000, save_dir='cartpole_dqn/', target_update=1000, train_freq=1, train_start=100, value_coef=0.5)
observation space: Box(4,)
action space: Discrete(2)
running on device cuda
obses on reset: 2 x (4,) float32
iter    200 |loss   0.01 |n_ep    20 |ep_len   19.6 |ep_rew  19.60 |raw_ep_rew  19.60 |env_step    400 |time 00:00 rem 00:47
iter   3800 |loss   0.04 |n_ep   310 |ep_len   94.1 |ep_rew  94.07 |raw_ep_rew  94.07 |env_step   7600 |time 00:30 rem 00:49
iter   4000 |loss   0.04 |n_ep   313 |ep_len  109.5 |ep_rew 109.51 |raw_ep_rew 109.51 |env_step   8000 |time 00:32 rem 00:48
iter   4200 |loss   0.05 |n_ep   315 |ep_len  124.4 |ep_rew 124.41 |raw_ep_rew 124.41 |env_step   8400 |time 00:34 rem 00:47
iter   4400 |loss   0.03 |n_ep   317 |ep_len  144.5 |ep_rew 144.51 |raw_ep_rew 144.51 |env_step   8800 |time 00:36 rem 00:45
iter   4600 |loss   0.06 |n_ep   318 |ep_len  151.5 |ep_rew 151.46 |raw_ep_rew 151.46 |env_step   9200 |time 00:37 rem 00:44
iter   4800 |loss   0.02 |n_ep   319 |ep_len  165.4 |ep_rew 165.41 |raw_ep_rew 165.41 |env_step   9600 |time 00:39 rem 00:42
iter   5000 |loss   0.04 |n_ep   321 |ep_len  181.2 |ep_rew 181.19 |raw_ep_rew 181.19 |env_step  10000 |time 00:41 rem 00:41
iter   5200 |loss   0.02 |n_ep   323 |ep_len  186.6 |ep_rew 186.65 |raw_ep_rew 186.65 |env_step  10400 |time 00:43 rem 00:40
iter   5400 |loss   0.08 |n_ep   325 |ep_len  187.9 |ep_rew 187.94 |raw_ep_rew 187.94 |env_step  10800 |time 00:44 rem 00:38
iter   5600 |loss   0.08 |n_ep   327 |ep_len  197.9 |ep_rew 197.91 |raw_ep_rew 197.91 |env_step  11200 |time 00:46 rem 00:36
iter   5800 |loss   0.11 |n_ep   329 |ep_len  206.1 |ep_rew 206.10 |raw_ep_rew 206.10 |env_step  11600 |time 00:48 rem 00:34
iter   6000 |loss   0.07 |n_ep   331 |ep_len  206.1 |ep_rew 206.10 |raw_ep_rew 206.10 |env_step  12000 |time 00:50 rem 00:33
iter   6200 |loss   0.01 |n_ep   332 |ep_len  205.7 |ep_rew 205.69 |raw_ep_rew 205.69 |env_step  12400 |time 00:51 rem 00:31
iter   6400 |loss   0.01 |n_ep   333 |ep_len  210.9 |ep_rew 210.92 |raw_ep_rew 210.92 |env_step  12800 |time 00:53 rem 00:29
iter   6600 |loss   0.03 |n_ep   335 |ep_len  222.5 |ep_rew 222.47 |raw_ep_rew 222.47 |env_step  13200 |time 00:54 rem 00:28
iter   6800 |loss   0.19 |n_ep   336 |ep_len  221.5 |ep_rew 221.52 |raw_ep_rew 221.52 |env_step  13600 |time 00:56 rem 00:26
iter   7000 |loss   0.01 |n_ep   338 |ep_len  238.5 |ep_rew 238.48 |raw_ep_rew 238.48 |env_step  14000 |time 00:58 rem 00:24
iter   7200 |loss   0.09 |n_ep   340 |ep_len  233.7 |ep_rew 233.66 |raw_ep_rew 233.66 |env_step  14400 |time 00:59 rem 00:23
iter   7400 |loss   0.06 |n_ep   343 |ep_len  216.4 |ep_rew 216.39 |raw_ep_rew 216.39 |env_step  14800 |time 01:01 rem 00:21
iter   7600 |loss   0.01 |n_ep   343 |ep_len  216.4 |ep_rew 216.39 |raw_ep_rew 216.39 |env_step  15200 |time 01:03 rem 00:19
iter   7800 |loss   0.10 |n_ep   345 |ep_len  241.8 |ep_rew 241.80 |raw_ep_rew 241.80 |env_step  15600 |time 01:04 rem 00:18
iter   8000 |loss   0.05 |n_ep   347 |ep_len  233.0 |ep_rew 233.03 |raw_ep_rew 233.03 |env_step  16000 |time 01:06 rem 00:16
iter   8200 |loss   0.02 |n_ep   349 |ep_len  231.8 |ep_rew 231.82 |raw_ep_rew 231.82 |env_step  16400 |time 01:07 rem 00:14
iter   8400 |loss   0.17 |n_ep   350 |ep_len  232.5 |ep_rew 232.54 |raw_ep_rew 232.54 |env_step  16800 |time 01:09 rem 00:13
iter   8600 |loss   0.03 |n_ep   352 |ep_len  238.5 |ep_rew 238.48 |raw_ep_rew 238.48 |env_step  17200 |time 01:11 rem 00:11
iter   8800 |loss   0.14 |n_ep   354 |ep_len  242.6 |ep_rew 242.61 |raw_ep_rew 242.61 |env_step  17600 |time 01:12 rem 00:09
iter   9000 |loss   0.12 |n_ep   355 |ep_len  241.9 |ep_rew 241.85 |raw_ep_rew 241.85 |env_step  18000 |time 01:14 rem 00:08
iter   9200 |loss   0.00 |n_ep   357 |ep_len  236.5 |ep_rew 236.53 |raw_ep_rew 236.53 |env_step  18400 |time 01:15 rem 00:06
iter   9400 |loss   0.12 |n_ep   358 |ep_len  234.1 |ep_rew 234.08 |raw_ep_rew 234.08 |env_step  18800 |time 01:17 rem 00:04
iter   9600 |loss   0.08 |n_ep   360 |ep_len  238.2 |ep_rew 238.19 |raw_ep_rew 238.19 |env_step  19200 |time 01:19 rem 00:03
iter   9800 |loss   0.16 |n_ep   362 |ep_len  231.8 |ep_rew 231.84 |raw_ep_rew 231.84 |env_step  19600 |time 01:20 rem 00:01
save checkpoint to cartpole_dqn/9999.pth
