Namespace(algo='dqn', batch_size=32, checkpoint_freq=200000, discount=0.99, ent_coef=0.01, env='BreakoutDeterministic-v4', eps_decay=200000, frame_skip=1, frame_stack=4, load='breakout_dqn/199999.pth', log='log_breakout_dqn.txt', lr=0.0001, niter=200000, nproc=2, parallel_env=0, print_freq=500, replay_size=1000000, save_dir='breakout_dqn/', target_update=2500, train_freq=2, train_start=5000, value_coef=0.5)
observation space: Box(4, 84, 84)
action space: Discrete(4)
running on device cuda
load pretrained model from breakout_dqn/199999.pth
obses on reset: 2 x (4, 84, 84) uint8
iter    500 |loss   0.00 |n_ep     3 |ep_len  170.9 |ep_rew   3.20 |raw_ep_rew    nan |env_step   1000 |time 00:04 rem 29:13
iter  17500 |loss   0.00 |n_ep   219 |ep_len  151.2 |ep_rew   3.45 |raw_ep_rew  26.15 |env_step  35000 |time 04:09 rem 43:18
iter  18000 |loss   0.00 |n_ep   223 |ep_len  154.7 |ep_rew   3.66 |raw_ep_rew  26.73 |env_step  36000 |time 04:17 rem 43:20
iter  18500 |loss   0.00 |n_ep   231 |ep_len  155.4 |ep_rew   3.97 |raw_ep_rew  30.38 |env_step  37000 |time 04:25 rem 43:24
iter  19000 |loss   0.00 |n_ep   233 |ep_len  175.0 |ep_rew   4.47 |raw_ep_rew  30.38 |env_step  38000 |time 04:33 rem 43:27
iter  19500 |loss   0.00 |n_ep   240 |ep_len  189.5 |ep_rew   4.75 |raw_ep_rew  32.78 |env_step  39000 |time 04:41 rem 43:28
iter  20000 |loss   0.00 |n_ep   246 |ep_len  184.1 |ep_rew   4.44 |raw_ep_rew  32.78 |env_step  40000 |time 04:50 rem 43:30
iter  20500 |loss   0.01 |n_ep   251 |ep_len  178.1 |ep_rew   4.55 |raw_ep_rew  33.74 |env_step  41000 |time 04:58 rem 43:31
iter  21000 |loss   0.00 |n_ep   258 |ep_len  154.6 |ep_rew   3.74 |raw_ep_rew  33.27 |env_step  42000 |time 05:06 rem 43:33
iter  21500 |loss   0.00 |n_ep   263 |ep_len  168.7 |ep_rew   3.99 |raw_ep_rew  32.64 |env_step  43000 |time 05:14 rem 43:34
iter  22000 |loss   0.00 |n_ep   269 |ep_len  177.6 |ep_rew   4.09 |raw_ep_rew  31.58 |env_step  44000 |time 05:23 rem 43:34
iter  22500 |loss   0.00 |n_ep   274 |ep_len  177.6 |ep_rew   4.17 |raw_ep_rew  32.12 |env_step  45000 |time 05:31 rem 43:34
iter  23000 |loss   0.00 |n_ep   280 |ep_len  182.1 |ep_rew   4.33 |raw_ep_rew  32.01 |env_step  46000 |time 05:39 rem 43:34
iter  23500 |loss   0.01 |n_ep   285 |ep_len  188.0 |ep_rew   4.56 |raw_ep_rew  32.41 |env_step  47000 |time 05:47 rem 43:33
iter  24000 |loss   0.00 |n_ep   288 |ep_len  208.9 |ep_rew   5.05 |raw_ep_rew  32.57 |env_step  48000 |time 05:56 rem 43:32
iter  24500 |loss   0.00 |n_ep   296 |ep_len  178.8 |ep_rew   4.00 |raw_ep_rew  32.31 |env_step  49000 |time 06:04 rem 43:30
iter  25000 |loss   0.01 |n_ep   300 |ep_len  179.0 |ep_rew   4.42 |raw_ep_rew  33.39 |env_step  50000 |time 06:12 rem 43:28
iter  25500 |loss   0.00 |n_ep   306 |ep_len  175.3 |ep_rew   4.17 |raw_ep_rew  33.39 |env_step  51000 |time 06:21 rem 43:27
