Namespace(algo='dqn', batch_size=32, checkpoint_freq=200000, discount=0.99, ent_coef=0.01, env='BreakoutDeterministic-v4', eps_decay=200000, frame_skip=1, frame_stack=4, load='breakout_dqn/199999.pth', log='log_breakout_dqn.txt', lr=0.0001, niter=200000, nproc=2, parallel_env=0, print_freq=500, replay_size=1000000, save_dir='breakout_dqn/', target_update=2500, train_freq=2, train_start=5000, value_coef=0.5)
observation space: Box(4, 84, 84)
action space: Discrete(4)
running on device cuda
load pretrained model from breakout_dqn/199999.pth
obses on reset: 2 x (4, 84, 84) uint8
iter    500 |loss   0.00 |n_ep     0 |ep_len    nan |ep_rew    nan |raw_ep_rew    nan |env_step   1000 |time 00:04 rem 28:30
iter  16500 |loss   0.00 |n_ep   118 |ep_len  264.0 |ep_rew   8.66 |raw_ep_rew  96.64 |env_step  33000 |time 03:44 rem 41:41
iter  17000 |loss   0.00 |n_ep   120 |ep_len  231.5 |ep_rew   7.72 |raw_ep_rew  97.38 |env_step  34000 |time 03:52 rem 41:47
iter  17500 |loss   0.02 |n_ep   122 |ep_len  310.2 |ep_rew  10.33 |raw_ep_rew  97.38 |env_step  35000 |time 04:01 rem 41:53
iter  18000 |loss   0.00 |n_ep   126 |ep_len  305.2 |ep_rew   9.93 |raw_ep_rew  97.38 |env_step  36000 |time 04:09 rem 41:58
iter  18500 |loss   0.00 |n_ep   132 |ep_len  258.3 |ep_rew   8.86 |raw_ep_rew 110.68 |env_step  37000 |time 04:17 rem 42:02
iter  19000 |loss   0.00 |n_ep   133 |ep_len  278.5 |ep_rew   9.23 |raw_ep_rew 110.68 |env_step  38000 |time 04:25 rem 42:05
iter  19500 |loss   0.00 |n_ep   138 |ep_len  264.1 |ep_rew   8.54 |raw_ep_rew 106.01 |env_step  39000 |time 04:33 rem 42:08
iter  20000 |loss   0.00 |n_ep   141 |ep_len  250.7 |ep_rew   8.45 |raw_ep_rew 107.41 |env_step  40000 |time 04:41 rem 42:11
iter  20500 |loss   0.01 |n_ep   144 |ep_len  314.0 |ep_rew  10.51 |raw_ep_rew 107.41 |env_step  41000 |time 04:49 rem 42:13
iter  21000 |loss   0.01 |n_ep   148 |ep_len  299.0 |ep_rew   9.54 |raw_ep_rew 109.67 |env_step  42000 |time 04:57 rem 42:15
iter  21500 |loss   0.00 |n_ep   150 |ep_len  279.8 |ep_rew   9.21 |raw_ep_rew 109.67 |env_step  43000 |time 05:05 rem 42:16
iter  22000 |loss   0.01 |n_ep   156 |ep_len  256.8 |ep_rew  10.23 |raw_ep_rew 127.08 |env_step  44000 |time 05:13 rem 42:16
iter  22500 |loss   0.00 |n_ep   157 |ep_len  292.0 |ep_rew  11.05 |raw_ep_rew 127.08 |env_step  45000 |time 05:21 rem 42:16
iter  23000 |loss   0.00 |n_ep   159 |ep_len  379.5 |ep_rew  13.35 |raw_ep_rew 127.08 |env_step  46000 |time 05:29 rem 42:16
iter  23500 |loss   0.00 |n_ep   163 |ep_len  334.8 |ep_rew  12.08 |raw_ep_rew 128.07 |env_step  47000 |time 05:37 rem 42:16
iter  24000 |loss   0.00 |n_ep   166 |ep_len  314.3 |ep_rew  10.88 |raw_ep_rew 131.97 |env_step  48000 |time 05:45 rem 42:16
iter  24500 |loss   0.00 |n_ep   167 |ep_len  319.6 |ep_rew  10.74 |raw_ep_rew 131.97 |env_step  49000 |time 05:54 rem 42:16
