Namespace(algo='dqn', batch_size=32, checkpoint_freq=200000, discount=0.99, ent_coef=0.01, env='BreakoutDeterministic-v4', eps_decay=200000, frame_skip=1, frame_stack=4, load='', log='log_breakout_dqn.txt', lr=0.0001, niter=200000, nproc=2, parallel_env=0, print_freq=500, replay_size=1000000, save_dir='breakout_dqn/', target_update=2500, train_freq=2, train_start=5000, value_coef=0.5)
observation space: Box(4, 84, 84)
action space: Discrete(4)
running on device cuda
obses on reset: 2 x (4, 84, 84) uint8
iter  23500 |loss   0.01 |n_ep  1471 |ep_len   35.7 |ep_rew  -0.05 |raw_ep_rew   1.36 |env_step  47000 |time 05:45 rem 43:18
iter  24000 |loss   0.00 |n_ep  1501 |ep_len   29.2 |ep_rew  -0.28 |raw_ep_rew   1.24 |env_step  48000 |time 05:54 rem 43:17
iter  24500 |loss   0.00 |n_ep  1532 |ep_len   31.9 |ep_rew  -0.22 |raw_ep_rew   1.42 |env_step  49000 |time 06:02 rem 43:16
iter  25000 |loss   0.01 |n_ep  1560 |ep_len   39.0 |ep_rew   0.00 |raw_ep_rew   0.94 |env_step  50000 |time 06:10 rem 43:14
iter  25500 |loss   0.00 |n_ep  1595 |ep_len   25.9 |ep_rew  -0.34 |raw_ep_rew   1.17 |env_step  51000 |time 06:18 rem 43:12
iter  26000 |loss   0.00 |n_ep  1625 |ep_len   31.5 |ep_rew  -0.19 |raw_ep_rew   1.24 |env_step  52000 |time 06:27 rem 43:10
iter  26500 |loss   0.00 |n_ep  1656 |ep_len   31.7 |ep_rew  -0.21 |raw_ep_rew   1.33 |env_step  53000 |time 06:35 rem 43:08
iter  27000 |loss   0.00 |n_ep  1688 |ep_len   38.5 |ep_rew   0.01 |raw_ep_rew   1.05 |env_step  54000 |time 06:43 rem 43:05
iter  27500 |loss   0.00 |n_ep  1721 |ep_len   30.4 |ep_rew  -0.22 |raw_ep_rew   1.21 |env_step  55000 |time 06:52 rem 43:09
iter  28000 |loss   0.00 |n_ep  1751 |ep_len   29.3 |ep_rew  -0.25 |raw_ep_rew   1.08 |env_step  56000 |time 07:01 rem 43:06
iter  28500 |loss   0.00 |n_ep  1778 |ep_len   38.1 |ep_rew   0.00 |raw_ep_rew   1.21 |env_step  57000 |time 07:09 rem 43:04
iter  29000 |loss   0.00 |n_ep  1808 |ep_len   33.8 |ep_rew  -0.11 |raw_ep_rew   1.52 |env_step  58000 |time 07:17 rem 43:01
iter  29500 |loss   0.00 |n_ep  1837 |ep_len   31.4 |ep_rew  -0.18 |raw_ep_rew   1.47 |env_step  59000 |time 07:26 rem 42:57
iter  30000 |loss   0.00 |n_ep  1862 |ep_len   32.4 |ep_rew  -0.19 |raw_ep_rew   1.69 |env_step  60000 |time 07:34 rem 42:55
iter  30500 |loss   0.01 |n_ep  1889 |ep_len   32.3 |ep_rew  -0.15 |raw_ep_rew   1.84 |env_step  61000 |time 07:42 rem 42:51
iter  31000 |loss   0.00 |n_ep  1921 |ep_len   28.5 |ep_rew  -0.31 |raw_ep_rew   1.44 |env_step  62000 |time 07:51 rem 42:47
iter  31500 |loss   0.00 |n_ep  1948 |ep_len   33.8 |ep_rew  -0.11 |raw_ep_rew   1.65 |env_step  63000 |time 07:59 rem 42:44
iter  32000 |loss   0.00 |n_ep  1983 |ep_len   33.7 |ep_rew  -0.09 |raw_ep_rew   1.24 |env_step  64000 |time 08:07 rem 42:40
iter  32500 |loss   0.00 |n_ep  2018 |ep_len   30.4 |ep_rew  -0.22 |raw_ep_rew   0.88 |env_step  65000 |time 08:16 rem 42:36
iter  33000 |loss   0.00 |n_ep  2049 |ep_len   29.9 |ep_rew  -0.25 |raw_ep_rew   1.12 |env_step  66000 |time 08:24 rem 42:32
iter  33500 |loss   0.00 |n_ep  2076 |ep_len   35.9 |ep_rew  -0.04 |raw_ep_rew   1.41 |env_step  67000 |time 08:32 rem 42:28
iter  34000 |loss   0.00 |n_ep  2107 |ep_len   27.4 |ep_rew  -0.28 |raw_ep_rew   1.19 |env_step  68000 |time 08:41 rem 42:24
iter  34500 |loss   0.00 |n_ep  2138 |ep_len   33.5 |ep_rew  -0.15 |raw_ep_rew   1.15 |env_step  69000 |time 08:49 rem 42:19
iter  35000 |loss   0.00 |n_ep  2169 |ep_len   34.9 |ep_rew  -0.13 |raw_ep_rew   1.18 |env_step  70000 |time 08:57 rem 42:14
iter  35500 |loss   0.00 |n_ep  2198 |ep_len   33.0 |ep_rew  -0.14 |raw_ep_rew   1.15 |env_step  71000 |time 09:05 rem 42:09
iter  36000 |loss   0.00 |n_ep  2218 |ep_len   48.1 |ep_rew   0.25 |raw_ep_rew   1.97 |env_step  72000 |time 09:14 rem 42:05
iter  36500 |loss   0.00 |n_ep  2246 |ep_len   33.7 |ep_rew  -0.09 |raw_ep_rew   1.91 |env_step  73000 |time 09:22 rem 42:00
iter  37000 |loss   0.00 |n_ep  2279 |ep_len   28.7 |ep_rew  -0.24 |raw_ep_rew   1.48 |env_step  74000 |time 09:31 rem 41:55
iter  37500 |loss   0.00 |n_ep  2306 |ep_len   42.9 |ep_rew   0.12 |raw_ep_rew   1.62 |env_step  75000 |time 09:39 rem 41:50
iter  38000 |loss   0.01 |n_ep  2332 |ep_len   38.7 |ep_rew  -0.00 |raw_ep_rew   1.83 |env_step  76000 |time 09:47 rem 41:46
iter  38500 |loss   0.00 |n_ep  2362 |ep_len   35.0 |ep_rew  -0.08 |raw_ep_rew   1.72 |env_step  77000 |time 09:56 rem 41:41
iter  39000 |loss   0.00 |n_ep  2392 |ep_len   32.1 |ep_rew  -0.20 |raw_ep_rew   1.40 |env_step  78000 |time 10:04 rem 41:36
iter  39500 |loss   0.00 |n_ep  2415 |ep_len   36.1 |ep_rew  -0.13 |raw_ep_rew   1.80 |env_step  79000 |time 10:13 rem 41:31
iter  40000 |loss   0.01 |n_ep  2452 |ep_len   26.9 |ep_rew  -0.31 |raw_ep_rew   1.07 |env_step  80000 |time 10:21 rem 41:26
iter  40500 |loss   0.00 |n_ep  2483 |ep_len   27.1 |ep_rew  -0.29 |raw_ep_rew   1.06 |env_step  81000 |time 10:30 rem 41:21
iter  41000 |loss   0.00 |n_ep  2512 |ep_len   32.5 |ep_rew  -0.16 |raw_ep_rew   1.26 |env_step  82000 |time 10:38 rem 41:16
iter  41500 |loss   0.00 |n_ep  2544 |ep_len   31.6 |ep_rew  -0.19 |raw_ep_rew   1.11 |env_step  83000 |time 10:46 rem 41:11
iter  42000 |loss   0.00 |n_ep  2577 |ep_len   29.8 |ep_rew  -0.28 |raw_ep_rew   1.08 |env_step  84000 |time 10:55 rem 41:05
iter  42500 |loss   0.00 |n_ep  2600 |ep_len   38.0 |ep_rew   0.04 |raw_ep_rew   1.80 |env_step  85000 |time 11:03 rem 41:00
iter  43000 |loss   0.00 |n_ep  2631 |ep_len   30.4 |ep_rew  -0.14 |raw_ep_rew   1.58 |env_step  86000 |time 11:12 rem 40:54
iter  43500 |loss   0.00 |n_ep  2660 |ep_len   33.5 |ep_rew  -0.16 |raw_ep_rew   1.26 |env_step  87000 |time 11:20 rem 40:50
iter  44000 |loss   0.00 |n_ep  2693 |ep_len   31.1 |ep_rew  -0.17 |raw_ep_rew   1.30 |env_step  88000 |time 11:29 rem 40:45
iter  44500 |loss   0.00 |n_ep  2724 |ep_len   29.5 |ep_rew  -0.22 |raw_ep_rew   1.19 |env_step  89000 |time 11:38 rem 40:39
iter  45000 |loss   0.00 |n_ep  2758 |ep_len   30.1 |ep_rew  -0.27 |raw_ep_rew   0.93 |env_step  90000 |time 11:47 rem 40:35
iter  45500 |loss   0.00 |n_ep  2791 |ep_len   28.3 |ep_rew  -0.25 |raw_ep_rew   0.89 |env_step  91000 |time 11:55 rem 40:30
iter  46000 |loss   0.00 |n_ep  2825 |ep_len   34.3 |ep_rew  -0.12 |raw_ep_rew   0.80 |env_step  92000 |time 12:04 rem 40:24
iter  46500 |loss   0.00 |n_ep  2858 |ep_len   24.9 |ep_rew  -0.36 |raw_ep_rew   0.75 |env_step  93000 |time 12:12 rem 40:19
iter  47000 |loss   0.00 |n_ep  2890 |ep_len   30.0 |ep_rew  -0.23 |raw_ep_rew   1.04 |env_step  94000 |time 12:21 rem 40:13
iter  47500 |loss   0.01 |n_ep  2922 |ep_len   33.0 |ep_rew  -0.14 |raw_ep_rew   1.00 |env_step  95000 |time 12:29 rem 40:07
iter  48000 |loss   0.00 |n_ep  2955 |ep_len   32.9 |ep_rew  -0.12 |raw_ep_rew   0.90 |env_step  96000 |time 12:38 rem 40:01
iter  48500 |loss   0.00 |n_ep  2986 |ep_len   34.3 |ep_rew  -0.10 |raw_ep_rew   1.02 |env_step  97000 |time 12:46 rem 39:55
iter  49000 |loss   0.00 |n_ep  3016 |ep_len   35.4 |ep_rew  -0.06 |raw_ep_rew   1.27 |env_step  98000 |time 12:55 rem 39:50
iter  49500 |loss   0.00 |n_ep  3044 |ep_len   34.8 |ep_rew  -0.10 |raw_ep_rew   1.41 |env_step  99000 |time 13:04 rem 39:43
iter  50000 |loss   0.00 |n_ep  3073 |ep_len   28.0 |ep_rew  -0.31 |raw_ep_rew   1.40 |env_step 100000 |time 13:12 rem 39:37
iter  50500 |loss   0.00 |n_ep  3099 |ep_len   37.1 |ep_rew  -0.11 |raw_ep_rew   1.51 |env_step 101000 |time 13:21 rem 39:31
iter  51000 |loss   0.00 |n_ep  3129 |ep_len   32.6 |ep_rew  -0.14 |raw_ep_rew   1.55 |env_step 102000 |time 13:29 rem 39:25
iter  51500 |loss   0.00 |n_ep  3166 |ep_len   29.7 |ep_rew  -0.21 |raw_ep_rew   0.90 |env_step 103000 |time 13:38 rem 39:19
iter  52000 |loss   0.00 |n_ep  3199 |ep_len   31.2 |ep_rew  -0.22 |raw_ep_rew   0.89 |env_step 104000 |time 13:46 rem 39:13
iter  52500 |loss   0.00 |n_ep  3233 |ep_len   27.3 |ep_rew  -0.28 |raw_ep_rew   0.76 |env_step 105000 |time 13:55 rem 39:07
iter  53000 |loss   0.00 |n_ep  3265 |ep_len   34.2 |ep_rew  -0.11 |raw_ep_rew   0.99 |env_step 106000 |time 14:04 rem 39:01
iter  53500 |loss   0.00 |n_ep  3299 |ep_len   26.7 |ep_rew  -0.33 |raw_ep_rew   0.96 |env_step 107000 |time 14:13 rem 38:56
iter  54000 |loss   0.00 |n_ep  3325 |ep_len   32.9 |ep_rew  -0.20 |raw_ep_rew   1.11 |env_step 108000 |time 14:21 rem 38:50
iter  54500 |loss   0.00 |n_ep  3355 |ep_len   31.1 |ep_rew  -0.17 |raw_ep_rew   1.17 |env_step 109000 |time 14:30 rem 38:44
iter  55000 |loss   0.00 |n_ep  3384 |ep_len   28.2 |ep_rew  -0.26 |raw_ep_rew   1.25 |env_step 110000 |time 14:39 rem 38:37
iter  55500 |loss   0.00 |n_ep  3411 |ep_len   36.2 |ep_rew  -0.07 |raw_ep_rew   1.28 |env_step 111000 |time 14:47 rem 38:31
iter  56000 |loss   0.00 |n_ep  3442 |ep_len   29.4 |ep_rew  -0.20 |raw_ep_rew   1.25 |env_step 112000 |time 14:56 rem 38:25
